source,relationship,target
Phoenix,lives in,Chromatic Catacombs
Phoenix,opposed by,Enforcer
Phoenix,creates art in,Chromatic Catacombs
Phoenix,creates,murals
Phoenix,hides in,Chromatic Catacombs
Phoenix,is pursued in,Chromatic Catacombs
Phoenix,is a,artist
Phoenix,leads,Underground Artists
Phoenix,is friends with,Kai
Phoenix,is friends with,Maya
Phoenix,is inspired by,Zara
Phoenix,works with,Rory
Zara,is a,Elderly Artist
Zara,inspires,Phoenix
Chromatic Catacombs,is a,Sanctuary
Rory,helps,Phoenix
