source,relationship,target
1. Phoenix,is daughter of,Maya
2. Phoenix,collaborates with,Rory
3. Phoenix,is respected by,Zara
4. Phoenix,is admired by,Kai
5. Phoenix,is inspired by,Maya
6. Phoenix,is supported by,Rory
7. Phoenix,is part of,Underground Artists
8. Phoenix,is leader of,Underground Artists
9. Phoenix,is encouraged by,Elderly Artist
10. Phoenix,is appreciated by,Senna
11. Phoenix,is pursued by,Enforcer
12. Rory,is part of,Underground Artists
13. Rory,collaborates with,Phoenix
14. Rory,is committed to,Underground Artists
15. Zara,is part of,Underground Artists
16. Zara,respects,Phoenix
17. Zara,is proud of,Underground Artists
18. Kai,is part of,Underground Artists
19. Kai,admires,Phoenix
20. Maya,is mother of,Phoenix
21. Maya,inspires,Phoenix
22. Enforcer,pursues,Phoenix
23. Underground Artists,are led by,Phoenix
24. Underground Artists,support,Phoenix
25. Underground Artists,are committed to,Rory
26. Elderly Artist,respects,Phoenix
27. Senna,is inspired by,Phoenix
